IaC_File,Precision,Recall,Fscore,Success_rate,MRR
puppet-tripleo/manifests/profile/base/cinder/volume.pp_(IaC)_,0.2857142857142857,0.25,0.26666666666666666,1.0,1.0
puppet-tripleo/spec/classes/tripleo_profile_base_cinder_scaleio_spec.rb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tripleo/spec/classes/tripleo_profile_base_cinder_vmax_spec.rb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tripleo/spec/classes/tripleo_profile_base_cinder_volume_spec.rb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tripleo/spec/classes/tripleo_profile_base_cinder_vxflexos_spec.rb_(Other)_,0.0,0.0,0.0,0.0,0.0
puppet-tripleo/spec/fixtures/hieradata/default.yaml_(Other)_,0.0,0.0,0.0,0.0,0.0
