,antecedents,consequents,support,confidence,lift
0,frozenset({'infra/group_vars/morpheus.yaml_(Other)_'}),frozenset({'infra/files/sanoid/sanoid-morpheus.conf_(Other)_'}),0.037037037037037035,0.2857142857142857,7.714285714285714
1,frozenset({'infra/files/sanoid/sanoid-morpheus.conf_(Other)_'}),frozenset({'infra/group_vars/morpheus.yaml_(Other)_'}),0.037037037037037035,1.0,7.714285714285714
2,frozenset({'infra/group_vars/backup.yaml_(Other)_'}),frozenset({'infra/roles/ktz-sanoid/tasks/main.yaml_(IaC)_'}),0.037037037037037035,1.0,10.8
3,frozenset({'infra/roles/ktz-sanoid/tasks/main.yaml_(IaC)_'}),frozenset({'infra/group_vars/backup.yaml_(Other)_'}),0.037037037037037035,0.4,10.8
4,frozenset({'infra/group_vars/backup.yaml_(Other)_'}),frozenset({'infra/roles/ktz-sanoid/tasks/sanoid.yaml_(IaC)_'}),0.037037037037037035,1.0,10.8
5,frozenset({'infra/roles/ktz-sanoid/tasks/sanoid.yaml_(IaC)_'}),frozenset({'infra/group_vars/backup.yaml_(Other)_'}),0.037037037037037035,0.4,10.8
6,frozenset({'infra/group_vars/backup.yaml_(Other)_'}),frozenset({'infra/run.yaml_(Other)_'}),0.037037037037037035,1.0,2.8421052631578947
7,frozenset({'infra/run.yaml_(Other)_'}),frozenset({'infra/group_vars/backup.yaml_(Other)_'}),0.037037037037037035,0.10526315789473684,2.8421052631578947
8,frozenset({'infra/group_vars/cloud.yaml_(Other)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.05555555555555555,1.0,6.75
9,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/group_vars/cloud.yaml_(Other)_'}),0.05555555555555555,0.375,6.75
10,frozenset({'infra/makefile_(Other)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,0.25,1.6875
11,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/makefile_(Other)_'}),0.037037037037037035,0.25,1.6875
12,frozenset({'infra/roles/ktz-cartman/handlers/main.yml_(IaC)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,1.0,6.75
13,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/roles/ktz-cartman/handlers/main.yml_(IaC)_'}),0.037037037037037035,0.25,6.75
14,frozenset({'infra/roles/ktz-cartman/tasks/main.yml_(IaC)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,0.4,2.7
15,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/roles/ktz-cartman/tasks/main.yml_(IaC)_'}),0.037037037037037035,0.25,2.7
16,frozenset({'infra/roles/ktz-sanoid/defaults/main.yaml_(Other)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,1.0,6.75
17,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/roles/ktz-sanoid/defaults/main.yaml_(Other)_'}),0.037037037037037035,0.25,6.75
18,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/roles/ktz-sanoid/tasks/main.yaml_(IaC)_'}),0.037037037037037035,0.25,2.7
19,frozenset({'infra/roles/ktz-sanoid/tasks/main.yaml_(IaC)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,0.4,2.7
20,frozenset({'infra/roles/ktz-sanoid/tasks/sanoid.yaml_(IaC)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,0.4,2.7
21,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/roles/ktz-sanoid/tasks/sanoid.yaml_(IaC)_'}),0.037037037037037035,0.25,2.7
22,frozenset({'infra/roles/ktz-traefik/defaults/main.yaml_(Other)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,1.0,6.75
23,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/roles/ktz-traefik/defaults/main.yaml_(Other)_'}),0.037037037037037035,0.25,6.75
24,frozenset({'infra/roles/ktz-traefik/tasks/main.yaml_(IaC)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.037037037037037035,0.3333333333333333,2.25
25,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/roles/ktz-traefik/tasks/main.yaml_(IaC)_'}),0.037037037037037035,0.25,2.25
26,frozenset({'infra/run.yaml_(Other)_'}),frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),0.07407407407407407,0.21052631578947367,1.4210526315789473
27,frozenset({'infra/group_vars/cartman.yaml_(Other)_'}),frozenset({'infra/run.yaml_(Other)_'}),0.07407407407407407,0.5,1.4210526315789473
