IaC_File,Precision,Recall,Fscore,Success_rate,MRR
puppet-icinga2/examples/example_config.pp_(IaC)_,0.14285714285714285,1.0,0.25,1.0,0.14285714285714285
puppet-icinga2/manifests/config/fragment.pp_(IaC)_,0.0,0.0,0.0,0.0,0.0
