IaC_File,Precision,Recall,Fscore,Success_rate,MRR
ansible-collection-hardening/roles/mysql_hardening/tasks/main.yml_(IaC)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/.github/workflows/codespell.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/molecule/os_hardening/verify_tasks/pam.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/molecule/os_hardening_vm/molecule.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/molecule/os_hardening_vm/verify_tasks/pam.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/molecule/ssh_hardening_bsd/molecule.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/os_hardening/defaults/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/os_hardening/vars/Amazon.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/os_hardening/vars/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/ssh_hardening/templates/opensshd.conf.j2_(Other)_,0.0,0.0,0.0,0.0,0.0
