IaC_File,Precision,Recall,Fscore,Success_rate,MRR
ansible-collection-hardening/roles/os_hardening/tasks/suid_sgid.yml_(IaC)_,0.2857142857142857,0.2222222222222222,0.25,1.0,1.0
ansible-collection-hardening/.github/workflows/ansible-lint.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/galaxy.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/mysql_hardening/meta/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/nginx_hardening/meta/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/os_hardening/meta/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/ssh_hardening/meta/main.yml_(Other)_,0.0,0.0,0.0,0.0,0.0
ansible-collection-hardening/roles/os_hardening/tasks/rhosts.yml_(IaC)_,0.2857142857142857,0.2222222222222222,0.25,1.0,1.0
ansible-collection-hardening/roles/os_hardening/tasks/user_accounts.yml_(IaC)_,0.14285714285714285,0.1111111111111111,0.125,1.0,1.0
ansible-collection-hardening/roles/os_hardening/tasks/minimize_access.yml_(IaC)_,0.42857142857142855,0.3333333333333333,0.375,1.0,1.0
