,antecedents,consequents,support,confidence,lift
0,frozenset({'puppet-openstack-integration/configure_facts.sh_(Other)_'}),frozenset({'puppet-openstack-integration/manifests/repos.pp_(IaC)_'}),0.02466091245376079,0.9090909090909092,3.614081996434938
1,frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.02836004932182491,0.3898305084745763,3.474203762339356
2,frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),0.02836004932182491,0.25274725274725274,3.4742037623393554
3,frozenset({'puppet-openstack-integration/fixtures/scenario003.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.025893958076448828,0.25609756097560976,2.282363977485929
4,frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario003.pp_(IaC)_'}),0.025893958076448828,0.23076923076923075,2.2823639774859283
5,frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario004.pp_(IaC)_'}),0.02096177558569667,0.18681318681318682,3.7876373626373625
6,frozenset({'puppet-openstack-integration/fixtures/scenario004.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.02096177558569667,0.425,3.7876373626373625
7,frozenset({'puppet-openstack-integration/manifests/aodh.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.011097410604192354,0.2571428571428571,2.2916797488226055
8,frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/manifests/ceilometer.pp_(IaC)_'}),0.012330456226880395,0.10989010989010989,2.7850274725274726
9,frozenset({'puppet-openstack-integration/manifests/ceilometer.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.012330456226880395,0.3125,2.7850274725274726
10,frozenset({'puppet-openstack-integration/manifests/neutron.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.011097410604192354,0.1232876712328767,1.098750564503989
11,frozenset({'puppet-openstack-integration/manifests/nova.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.011097410604192354,0.12162162162162161,1.0839025839025838
12,frozenset({'puppet-openstack-integration/run_tests.sh_(Other)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),0.030826140567200986,0.31645569620253167,2.820280984837947
13,frozenset({'puppet-openstack-integration/fixtures/scenario001.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/run_tests.sh_(Other)_'}),0.030826140567200986,0.2747252747252747,2.8202809848379466
14,frozenset({'puppet-openstack-integration/fixtures/scenario003.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),0.02466091245376079,0.24390243902439024,3.3526250516742455
15,frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario003.pp_(IaC)_'}),0.02466091245376079,0.3389830508474576,3.352625051674245
16,frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario004.pp_(IaC)_'}),0.016029593094944512,0.22033898305084745,4.467372881355932
17,frozenset({'puppet-openstack-integration/fixtures/scenario004.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),0.016029593094944512,0.32499999999999996,4.4673728813559315
18,frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/manifests/cinder.pp_(IaC)_'}),0.012330456226880395,0.1694915254237288,2.988209285187914
19,frozenset({'puppet-openstack-integration/manifests/cinder.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),0.012330456226880395,0.21739130434782608,2.9882092851879145
20,frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/manifests/glance.pp_(IaC)_'}),0.011097410604192354,0.15254237288135591,3.8659957627118637
21,frozenset({'puppet-openstack-integration/manifests/glance.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),0.011097410604192354,0.28125,3.865995762711864
22,frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/manifests/nova.pp_(IaC)_'}),0.013563501849568433,0.18644067796610167,2.0432890517636277
23,frozenset({'puppet-openstack-integration/manifests/nova.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),0.013563501849568433,0.14864864864864863,2.0432890517636277
24,frozenset({'puppet-openstack-integration/run_tests.sh_(Other)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),0.01726263871763255,0.17721518987341772,2.435957948937996
25,frozenset({'puppet-openstack-integration/fixtures/scenario002.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/run_tests.sh_(Other)_'}),0.01726263871763255,0.23728813559322032,2.435957948937996
26,frozenset({'puppet-openstack-integration/fixtures/scenario003.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario004.pp_(IaC)_'}),0.025893958076448828,0.25609756097560976,5.192378048780488
27,frozenset({'puppet-openstack-integration/fixtures/scenario004.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/fixtures/scenario003.pp_(IaC)_'}),0.025893958076448828,0.525,5.192378048780488
28,frozenset({'puppet-openstack-integration/fixtures/scenario003.pp_(IaC)_'}),frozenset({'puppet-openstack-integration/manifests/neutron.pp_(IaC)_'}),0.011097410604192354,0.1097560975609756,1.219345138656866
