IaC_File,Precision,Recall,Fscore,Success_rate,MRR
puppet-tripleo/manifests/profile/base/snmp.pp_(IaC)_,0.14285714285714285,1.0,0.25,1.0,0.14285714285714285
puppet-tripleo/spec/classes/tripleo_profile_base_snmp_spec.rb_(Other)_,0.0,0.0,0.0,0.0,0.0
